,,ADF Statistic,P - Value,Lag
Open_Ret_MA_15,BDT,-8.32490103927,3.49186170321e-13,28
Open_Ret_MA_15,CNY,-7.2537948349,1.75212522582e-10,21
Open_Ret_MA_15,HKD,-9.86520412276,4.13161684838e-17,25
Open_Ret_MA_15,IDR,,,
Open_Ret_MA_15,INR,-9.66833035696,1.29703280774e-16,27
Open_Ret_MA_15,JPY,-8.03587383374,1.90345349037e-12,25
Open_Ret_MA_15,KRW,-9.40938447092,5.89132660506e-16,23
Open_Ret_MA_15,LKR,-8.02469555787,2.03210156945e-12,27
Open_Ret_MA_15,MNT,-8.13042528482,1.09402676107e-12,27
Open_Ret_MA_15,MYR,-8.27989439017,4.54954995826e-13,27
Open_Ret_MA_15,NZD,-9.52756619113,2.94966388062e-16,22
Open_Ret_MA_15,PHP,-10.0525823766,1.39986362706e-17,27
Open_Ret_MA_15,PKR,-8.92286566527,1.0298063081e-14,27
Open_Ret_MA_15,SGD,-8.04990541303,1.75339313158e-12,19
Open_Ret_MA_15,THB,-8.1643969701,8.96405571983e-13,28
Open_Ret_MA_15,TWD,-8.20663098052,6.99624565824e-13,28
Open_Ret_MA_15,VND,-9.43812247945,4.97840194004e-16,26
Open_Ret_MA_45,AUD,-6.35290919117,2.58450220919e-08,23
Open_Ret_MA_45,BDT,-6.09676684303,1.00570504156e-07,28
Open_Ret_MA_45,CNY,-6.04687171171,1.30550072207e-07,26
Open_Ret_MA_45,HKD,-7.85895591981,5.34798272361e-12,21
Open_Ret_MA_45,IDR,,,
Open_Ret_MA_45,INR,-6.51235626526,1.09241712681e-08,13
Open_Ret_MA_45,JPY,-5.50663129994,2.01502489563e-06,0
Open_Ret_MA_45,KRW,-6.78702296428,2.41760418447e-09,17
Open_Ret_MA_45,LKR,-6.19175503185,6.09889028353e-08,27
Open_Ret_MA_45,MNT,-5.2038066382,8.63610947215e-06,5
Open_Ret_MA_45,MYR,-6.20970361228,5.54610554096e-08,28
Open_Ret_MA_45,NZD,-6.11375510965,9.19953647782e-08,14
Open_Ret_MA_45,PHP,-6.4503263321,1.5291751162e-08,23
Open_Ret_MA_45,PKR,-6.52533583505,1.01796733712e-08,28
Open_Ret_MA_45,SGD,-5.7745228088,5.29735422669e-07,9
Open_Ret_MA_45,THB,-6.92860358917,1.09883299382e-09,24
Open_Ret_MA_45,TWD,-5.36895043955,3.93475828895e-06,8
Open_Ret_MA_45,VND,-7.19803560752,2.4058406365e-10,11
High_Ret_MA_3,AUD,-9.27953437105,1.26205791453e-15,27
High_Ret_MA_3,BDT,-7.96371368311,2.90247641839e-12,27
High_Ret_MA_3,CNY,-7.43240731208,6.31006506919e-11,27
High_Ret_MA_3,HKD,-10.1117104481,9.96344878708e-18,28
High_Ret_MA_3,IDR,,,
High_Ret_MA_3,INR,-9.1780853972,2.29105932761e-15,28
High_Ret_MA_3,JPY,-8.50814432774,1.18737684423e-13,27
High_Ret_MA_3,KRW,-9.46206192241,4.32720902853e-16,28
High_Ret_MA_3,LKR,-7.11369579629,3.87980983002e-10,28
High_Ret_MA_3,MNT,-8.12500444092,1.12935218097e-12,27
High_Ret_MA_3,MYR,-8.08455017255,1.43146269225e-12,28
High_Ret_MA_3,NZD,-9.92874011161,2.86028179825e-17,28
High_Ret_MA_3,PHP,-9.63421902286,1.58236758311e-16,28
High_Ret_MA_3,PKR,-7.50694352822,4.11083107607e-11,27
High_Ret_MA_3,SGD,-8.99946997233,6.55692395082e-15,28
High_Ret_MA_3,THB,-8.14984354694,9.76287287169e-13,28
High_Ret_MA_3,TWD,-8.14874422346,9.82601971561e-13,28
High_Ret_MA_3,VND,-9.57279341496,2.26462612718e-16,27
High_Ret_MA_15,AUD,-8.45312132425,1.6418902221e-13,20
High_Ret_MA_15,BDT,-8.6511862317,5.11020437868e-14,27
High_Ret_MA_15,CNY,-7.52380033785,3.73047321171e-11,21
High_Ret_MA_15,HKD,-9.95728251524,2.42532377957e-17,24
High_Ret_MA_15,IDR,,,
High_Ret_MA_15,INR,-9.79485454578,6.21340594864e-17,27
High_Ret_MA_15,JPY,-7.71985257199,1.20069769158e-11,22
High_Ret_MA_15,KRW,-9.38655001426,6.73508259148e-16,22
High_Ret_MA_15,LKR,-8.28668777349,4.37147538408e-13,25
High_Ret_MA_15,MNT,-7.69319748658,1.40141596109e-11,24
High_Ret_MA_15,MYR,-8.16943407582,8.70303803511e-13,26
High_Ret_MA_15,NZD,-9.35044410423,8.32351196339e-16,21
High_Ret_MA_15,PHP,-9.81824841776,5.42449041336e-17,26
High_Ret_MA_15,PKR,-8.17044454337,8.65159635749e-13,27
High_Ret_MA_15,SGD,-8.19226579774,7.6117672738e-13,22
High_Ret_MA_15,THB,-8.28652849632,4.37556981757e-13,28
High_Ret_MA_15,TWD,-8.38968055554,2.38532065082e-13,28
High_Ret_MA_15,VND,-10.2902149877,3.58640166824e-18,28
High_Ret_MA_45,AUD,-6.38024742668,2.23152549053e-08,2
High_Ret_MA_45,BDT,-6.46086491313,1.4444139464e-08,28
High_Ret_MA_45,CNY,-6.24499009282,4.59905996347e-08,26
High_Ret_MA_45,HKD,-7.94546286243,3.22894883732e-12,25
High_Ret_MA_45,IDR,,,
High_Ret_MA_45,INR,-5.93459326925,2.33710719312e-07,8
High_Ret_MA_45,JPY,-5.30841442525,5.2601222551e-06,1
High_Ret_MA_45,KRW,-6.85090860853,1.69527905768e-09,17
High_Ret_MA_45,LKR,-6.11290975744,9.24045654263e-08,27
High_Ret_MA_45,MNT,-5.24685938867,7.04846355687e-06,23
High_Ret_MA_45,MYR,-5.23813909768,7.34529152477e-06,7
High_Ret_MA_45,NZD,-6.49144213144,1.22381970982e-08,1
High_Ret_MA_45,PHP,-6.54818131368,8.98883861496e-09,13
High_Ret_MA_45,PKR,-5.64691921481,1.00642585284e-06,19
High_Ret_MA_45,SGD,-5.90884896271,2.66840778264e-07,7
High_Ret_MA_45,THB,-6.7894267539,2.3855964199e-09,23
High_Ret_MA_45,TWD,-6.20507390095,5.68379069305e-08,28
High_Ret_MA_45,VND,-7.22629873702,2.04887901864e-10,12
Low_Ret_MA_3,AUD,-9.07491889614,4.20441887804e-15,27
Low_Ret_MA_3,BDT,-7.87005682198,5.01301051014e-12,28
Low_Ret_MA_3,CNY,-6.94200647308,1.01942645279e-09,27
Low_Ret_MA_3,HKD,-9.86050697595,4.24561079698e-17,28
Low_Ret_MA_3,IDR,,,
Low_Ret_MA_3,INR,-9.15958204053,2.55449173581e-15,28
Low_Ret_MA_3,JPY,-9.1391906814,2.88009969098e-15,28
Low_Ret_MA_3,KRW,-9.11537506771,3.31340799782e-15,27
Low_Ret_MA_3,LKR,-7.57128053797,2.83693677615e-11,28
Low_Ret_MA_3,MNT,-8.1173769591,1.1809908271e-12,28
Low_Ret_MA_3,MYR,-7.73523802541,1.09813983172e-11,27
Low_Ret_MA_3,NZD,-9.85226368468,4.45336412762e-17,28
Low_Ret_MA_3,PHP,-9.26689377986,1.3593315968e-15,28
Low_Ret_MA_3,PKR,-7.8241955973,6.54781872192e-12,27
Low_Ret_MA_3,SGD,-8.72730924248,3.2621548379e-14,27
Low_Ret_MA_3,THB,-7.89468019799,4.34268020656e-12,28
Low_Ret_MA_3,TWD,-7.89499932225,4.33460603179e-12,28
Low_Ret_MA_3,VND,-8.79526033299,2.18517693885e-14,27
Low_Ret_MA_15,AUD,-8.55805999836,8.84808262161e-14,27
Low_Ret_MA_15,BDT,-8.3530001426,2.95992061329e-13,26
Low_Ret_MA_15,CNY,-7.23197406957,1.98380213059e-10,21
Low_Ret_MA_15,HKD,-9.65075784901,1.43690562614e-16,25
Low_Ret_MA_15,IDR,,,
Low_Ret_MA_15,INR,-9.59691054644,1.96716991817e-16,27
Low_Ret_MA_15,JPY,-8.46224961838,1.55595582982e-13,28
Low_Ret_MA_15,KRW,-9.40207807562,6.14908330701e-16,28
Low_Ret_MA_15,LKR,-8.34449572155,3.11176340636e-13,27
Low_Ret_MA_15,MNT,-8.08958009434,1.3899016016e-12,26
Low_Ret_MA_15,MYR,-8.44248899416,1.74797551225e-13,28
Low_Ret_MA_15,NZD,-9.1618715206,2.5203177387e-15,18
Low_Ret_MA_15,PHP,-9.85477906665,4.38890851881e-17,26
Low_Ret_MA_15,PKR,-8.64122402283,5.41934282894e-14,28
Low_Ret_MA_15,SGD,-8.47688538526,1.42744860567e-13,28
Low_Ret_MA_15,THB,-8.00356778923,2.29937665411e-12,27
Low_Ret_MA_15,TWD,-8.27186378441,4.76941093835e-13,28
Low_Ret_MA_15,VND,-9.64181300331,1.51382598158e-16,27
Low_Ret_MA_45,AUD,-6.11933627984,8.93380388993e-08,1
Low_Ret_MA_45,BDT,-6.25501698203,4.36027977036e-08,21
Low_Ret_MA_45,CNY,-6.14225793862,7.91927320446e-08,22
Low_Ret_MA_45,HKD,-7.38123937218,8.46168204639e-11,23
Low_Ret_MA_45,IDR,,,
Low_Ret_MA_45,INR,-6.69264246115,4.07293439865e-09,27
Low_Ret_MA_45,JPY,-5.35030732064,4.30386987646e-06,6
Low_Ret_MA_45,KRW,-6.93592052906,1.05475379043e-09,17
Low_Ret_MA_45,LKR,-6.2075659911,5.60926508418e-08,27
Low_Ret_MA_45,MNT,-5.19322781671,9.07633799806e-06,5
Low_Ret_MA_45,MYR,-6.22600033227,5.08702770561e-08,28
Low_Ret_MA_45,NZD,-6.34413718284,2.70900058827e-08,1
Low_Ret_MA_45,PHP,-6.57382610629,7.8152077715e-09,24
Low_Ret_MA_45,PKR,-6.35285126154,2.58530562038e-08,27
Low_Ret_MA_45,SGD,-5.99509428965,1.70908712187e-07,7
Low_Ret_MA_45,THB,-6.73925056918,3.14938687675e-09,25
Low_Ret_MA_45,TWD,-5.27038127386,6.30462157976e-06,13
Low_Ret_MA_45,VND,-6.96463695309,8.98034058789e-10,26
Close_Ret_MA_3,AUD,-8.93377335703,9.6568154821e-15,28
Close_Ret_MA_3,BDT,-8.3948193972,2.31425858541e-13,27
Close_Ret_MA_3,CNY,-7.00223166358,7.27204690003e-10,27
Close_Ret_MA_3,HKD,-9.90474827824,3.28608546837e-17,28
Close_Ret_MA_3,IDR,,,
Close_Ret_MA_3,INR,-9.23618131214,1.62816181536e-15,28
Close_Ret_MA_3,JPY,-8.7409677754,3.00971938749e-14,27
Close_Ret_MA_3,KRW,-9.32666428636,9.56987424409e-16,27
Close_Ret_MA_3,LKR,-7.17195326887,2.78963422353e-10,28
