,,,ADF Statistic,P - Value,Lag
Low_Ret,HKD,Hang Seng,-23.874120077,0.0,4
Low_Ret,IDR,IDX Composite,-29.7104456417,0.0,3
Low_Ret,INR,BSE Sensex,,,
Low_Ret,INR,Nifty 50,-49.6099583888,0.0,0
Low_Ret,JPY,Nikkei 225,-15.9105958772,8.132086377e-29,11
Low_Ret,KRW,KOSPI,-25.0937811404,0.0,4
Low_Ret,KRW,KOSPI 50,,,
Low_Ret,LKR,CSE All-Share,-13.3727647695,5.15866447309e-25,9
Low_Ret,MNT,MNE Top 20,,,
Low_Ret,MYR,KLCI,,,
Low_Ret,NZD,NZX 50,-42.6878443636,0.0,0
Low_Ret,NZD,NZX MidCap,-41.8563213365,0.0,0
Low_Ret,PHP,PSEi Composite,,,
Low_Ret,PKR,Karachi 100,-33.5107066814,0.0,1
Low_Ret,SGD,STI Index,,,
Low_Ret,THB,SET,-12.3151739296,6.94798336998e-23,18
Low_Ret,TWD,TPEx 50,,,
Low_Ret,TWD,Taiwan Weighted,,,
Low_Ret,USD,Dow 30,-25.3835594185,0.0,4
Low_Ret,USD,Nasdaq,-24.8282364838,0.0,4
Low_Ret,USD,Nasdaq 100,-19.3010526831,0.0,8
Low_Ret,USD,S&P 500,-25.060424011,0.0,4
Low_Ret,VND,HNX 30,,,
Low_Ret,VND,VN 30,-19.0312656247,0.0,6
Close_Ret,AUD,S&P/ASX 200,-20.0833453856,0.0,6
Close_Ret,BDT,DSE 30,,,
Close_Ret,CNY,SZSE Component,,,
Close_Ret,CNY,Shanghai,-9.14745834339,2.74334819289e-15,28
Close_Ret,HKD,Hang Seng,-25.8035042227,0.0,3
Close_Ret,IDR,IDX Composite,-15.0090045196,1.06230087789e-27,11
Close_Ret,INR,BSE Sensex,,,
Close_Ret,INR,Nifty 50,-47.2858826849,0.0,0
Close_Ret,JPY,Nikkei 225,-26.8467202289,0.0,3
Close_Ret,KRW,KOSPI,-13.4762001586,3.30845522045e-25,13
Close_Ret,KRW,KOSPI 50,,,
