,Pair,Model,Transformation,Shuffle,Poly,MSE,R2
2969,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,RobustScaler,True,False,1.035561112065285,-0.01916860790113306
2970,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,RobustScaler,False,True,1.5483311474886858,-0.155172773026097
2971,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,RobustScaler,False,False,1.3193688830308057,0.01565048683090131
2972,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,Normalizer,True,True,1.1182368301292318,-0.11983695615153134
2973,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,Normalizer,True,False,0.9467804967578842,0.050697176684256995
2974,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,Normalizer,False,True,1.151115121342521,-0.17216906674369903
2975,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,Normalizer,False,False,1.0372427261842903,-0.05621394054848339
2976,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,QuantileTransformer,True,True,0.09273493556970373,-0.04131588660292107
2977,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,QuantileTransformer,True,False,0.08211997636978646,0.031132027939123175
2978,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,QuantileTransformer,False,True,0.1109895990329448,-0.07709035470628467
2979,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,QuantileTransformer,False,False,0.0999424821808235,0.03011557370869422
2980,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,PowerTransformer,True,True,1.0692363318833198,-0.08162055955191216
2981,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,PowerTransformer,True,False,0.8480196804823686,0.005147791714146699
2982,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,PowerTransformer,False,True,2.030124430240205,-0.288905683170561
2983,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,PowerTransformer,False,False,1.5346950099695755,0.025637497476329596
2984,"('PKR', 'Karachi 100')",BayesianRidge,,True,True,7.55443703330284e-05,-0.050417043496947755
2985,"('PKR', 'Karachi 100')",BayesianRidge,,True,False,8.572861067167644e-05,0.045901630625690526
2986,"('PKR', 'Karachi 100')",BayesianRidge,,False,True,0.00011809130978440291,0.017271419336117755
2987,"('PKR', 'Karachi 100')",BayesianRidge,,False,False,0.0001155539207921563,0.03838698395721585
2988,"('PKR', 'Karachi 100')",BayesianRidge,MinMaxScaler,True,True,0.00910004913085499,0.03602636094864775
2989,"('PKR', 'Karachi 100')",BayesianRidge,MinMaxScaler,True,False,0.009508202885944648,0.047101951913615436
2990,"('PKR', 'Karachi 100')",BayesianRidge,MinMaxScaler,False,True,0.014220344640267252,0.004707056699615686
2991,"('PKR', 'Karachi 100')",BayesianRidge,MinMaxScaler,False,False,0.013707340663716499,0.040612602638367634
2992,"('PKR', 'Karachi 100')",BayesianRidge,MaxAbsScaler,True,True,0.03479734726473052,0.0017664837744781892
2993,"('PKR', 'Karachi 100')",BayesianRidge,MaxAbsScaler,True,False,0.05116935010372003,0.0331622504399226
2994,"('PKR', 'Karachi 100')",BayesianRidge,MaxAbsScaler,False,True,0.055108785673407136,0.007005564844739576
2995,"('PKR', 'Karachi 100')",BayesianRidge,MaxAbsScaler,False,False,0.05345926472660307,0.03672796030007763
2996,"('PKR', 'Karachi 100')",BayesianRidge,StandardScaler,True,True,0.9227339821356999,0.02877194987117504
2997,"('PKR', 'Karachi 100')",BayesianRidge,StandardScaler,True,False,0.9398958971714133,0.0322259649557447
2998,"('PKR', 'Karachi 100')",BayesianRidge,StandardScaler,False,True,1.5387563550334216,-0.002311951869591544
2999,"('PKR', 'Karachi 100')",BayesianRidge,StandardScaler,False,False,1.4750437242840244,0.03918905059664224
3000,"('PKR', 'Karachi 100')",BayesianRidge,RobustScaler,True,True,0.871099513221691,0.03108579653473509
3001,"('PKR', 'Karachi 100')",BayesianRidge,RobustScaler,True,False,1.0332259578411342,0.020854174043352547
3002,"('PKR', 'Karachi 100')",BayesianRidge,RobustScaler,False,True,1.357406877697556,-0.012728749646263804
3003,"('PKR', 'Karachi 100')",BayesianRidge,RobustScaler,False,False,1.2862519228805476,0.04035825735726273
3004,"('PKR', 'Karachi 100')",BayesianRidge,Normalizer,True,True,1.0086856981121872,-0.010129063408681471
3005,"('PKR', 'Karachi 100')",BayesianRidge,Normalizer,True,False,0.9560941113275054,0.042990479416967875
3006,"('PKR', 'Karachi 100')",BayesianRidge,Normalizer,False,True,1.002499614816334,-0.020835376169576314
3007,"('PKR', 'Karachi 100')",BayesianRidge,Normalizer,False,False,1.0056723819547715,-0.024066173356324994
3008,"('PKR', 'Karachi 100')",BayesianRidge,QuantileTransformer,True,True,0.08360743372596922,0.035298248130232746
3009,"('PKR', 'Karachi 100')",BayesianRidge,QuantileTransformer,True,False,0.07306435066638232,0.05455679855131146
3010,"('PKR', 'Karachi 100')",BayesianRidge,QuantileTransformer,False,True,0.10239730210485969,0.00629295532140417
3011,"('PKR', 'Karachi 100')",BayesianRidge,QuantileTransformer,False,False,0.09914435608661028,0.03786092935829244
