,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret,Sentiment,Close,Close_Ret,Sentiment
Currency,LKR,LKR,,PKR,PKR,,BDT,BDT,,MNT,MNT,
Idx,CSE All-Share,CSE All-Share,,Karachi 100,Karachi 100,,,,,,,
20-03-2013,5734.82,0.001767171,1,17753.97,0.001717761,0,78.4,0.000638162,0,1404.5,0.008617594,1
21-03-2013,5763.83,0.003250014,1,17913.62,0.007976496,1,78.4,0,0,1390.5,-0.00996796,0
22-03-2013,5735.68,0.000754844,1,17963.11,0.005060023,1,78.3,-0.00127551,0,1402.5,0.008629989,1
25-03-2013,5745.55,0.000631825,1,17961.91,0.003896085,1,78.3,0,0,1399.5,-0.002139037,0
26-03-2013,5745.27,-0.00107061,1,17872.15,-0.000767114,1,78.235,-0.00083014,0,1397.5,-0.001429082,1
27-03-2013,5744.99,0.000541113,1,17897.9,-0.001207752,1,78.075,-0.00204512,0,1397.5,0,0
28-03-2013,5735.68,-0.000572671,0,17947.76,-0.000256884,0,78.075,0,0,1397.5,0,0
29-03-2013,5728.06,-0.000999268,0,18043.31,0.003183458,1,78.145,0.000896574,0,1397.5,0,0
01-04-2013,5705.2,-0.002313316,0,18272.11,0.006930062,1,78.095,-0.000639836,1,1397.5,0,0
02-04-2013,5704.62,-0.001807023,0,18345.74,0.007344674,1,78.095,0,1,1397.5,0,0
03-04-2013,5728.47,2.94E-05,0,18575.88,0.009751613,1,78.075,-0.000256098,0,1402.5,0.003577818,1
04-04-2013,5753.56,0.002819679,1,18613.44,0.006198739,1,78.075,0,0,1402.5,0,1
05-04-2013,5765.94,0.003570804,1,18636.03,0.005260073,1,78.075,0,0,1400.5,-0.001426025,1
08-04-2013,5777.38,0.002838551,1,18653.06,0.001383146,1,78.075,0,0,1397.5,-0.002142092,0
09-04-2013,5767.6,0.000814322,1,18713.61,0.001791192,1,78.3,0.002881844,1,1407.5,0.007155635,1
10-04-2013,5794.3,0.001640188,1,18723.35,0.001560138,1,78.28,-0.000255428,1,1402.5,-0.003552398,1
11-04-2013,5813.37,0.002075888,1,18764.55,0.001989018,1,78.28,0,1,1397.5,-0.003565062,1
12-04-2013,5839.88,0.004160217,1,18714.28,1.40E-05,1,78.25,-0.00038324,0,1404.5,0.005008945,0
15-04-2013,5849.48,0.003165071,1,18524.5,-0.003539815,0,78.23,-0.000255591,0,1400.5,-0.002847989,0
16-04-2013,5852.68,0.002250368,1,18361.87,-0.007199697,0,78.25,0.000255656,0,1409.5,0.006426276,1
17-04-2013,5868.53,0.001633029,1,18394.12,-0.005721249,0,78.23,-0.000255591,0,1407.5,-0.001418943,1
18-04-2013,5882.25,0.001864371,1,18614.36,0.001650188,0,78.2,-0.000383485,0,1408.5,0.00071048,1
19-04-2013,5882.25,0.001682018,1,18631.21,0.004878321,1,78.2,0,0,1405.5,-0.002129925,0
22-04-2013,5872.43,0.000222822,1,18605.55,0.003833783,1,78.12,-0.001023018,0,1403.5,-0.001422981,0
23-04-2013,5933.73,0.00292306,1,18647.29,0.000590458,1,78.15,0.000384025,0,1402.5,-0.000712504,0
24-04-2013,5933.73,0.00292306,1,18779.66,0.002654925,1,78.12,-0.000383877,0,1399.5,-0.002139037,0
25-04-2013,5947.95,0.004278359,1,18885.6,0.004994415,1,78.1,-0.000256016,0,1417.5,0.012861736,1
26-04-2013,5962.17,0.001595736,1,18917.71,0.004813355,1,78.15,0.000640205,1,1415.5,-0.001410935,1
29-04-2013,5967.62,0.001900435,1,18822.85,0.000775699,1,78.17,0.000255918,1,1412.5,-0.002119392,1
30-04-2013,5953.19,0.000295596,1,18982.42,0.001721117,1,78.13,-0.000511705,1,1430.5,0.012743363,1
01-05-2013,5962.78,3.56E-05,1,19008.475,0.0016119,1,78.17,0.000511967,1,1429.5,-0.000699056,1
02-05-2013,5972.37,0.000267054,1,19034.53,0.003740251,1,78.15,-0.000255853,0,1420.5,-0.006295908,1
03-05-2013,6013.18,0.003350782,1,19226.63,0.004278492,1,78.17,0.000255918,1,1420.5,0,0
06-05-2013,6121.17,0.008800109,1,19256.7,0.004342289,1,78.13,-0.000511705,0,1432.5,0.00844773,1
07-05-2013,6201.68,0.012648244,1,19262.74,0.00398994,1,78.1,-0.000383975,0,1429.5,-0.002094241,1
08-05-2013,6210.1,0.010823098,1,19472.55,0.004256549,1,78.08,-0.000256082,0,1425.5,-0.002798181,1
09-05-2013,6238.71,0.006372474,1,19661.46,0.006969006,1,78.07,-0.000128074,0,1424.5,-0.000701508,0
10-05-2013,6250,0.002591459,1,19916.27,0.011184411,1,78.07,0,0,1429.5,0.003510004,1
13-05-2013,6239.03,0.001553827,1,20244.82,0.013052594,1,78.02,-0.000640451,0,1424.5,-0.003497726,0
14-05-2013,6206.59,-0.001715019,1,20474.62,0.013602495,1,78.02,0,0,1420.5,-0.002808003,0
15-05-2013,6221.12,-0.001537889,0,20566.69,0.010781467,1,78.02,0,0,1417.5,-0.002111932,0
16-05-2013,6287,0.002577089,0,20416.6,0.002850039,1,78,-0.000256345,0,1434.5,0.011992945,1
17-05-2013,6380.7,0.009278188,1,20537.03,0.001032565,1,78.02,0.00025641,1,1430.5,-0.002788428,1
20-05-2013,6466.67,0.012988982,1,20814.14,0.004031366,1,78.01,-0.000128172,0,1427.5,-0.002097169,1
21-05-2013,6441.64,0.008168865,1,21168,0.012130921,1,77.99,-0.000256377,0,1425.5,-0.001401051,0
22-05-2013,6461.62,0.00423484,1,21458.9,0.014745524,1,77.97,-0.000256443,0,1422.5,-0.002104525,0
23-05-2013,6488.85,0.001148397,1,21342.65,0.008442017,1,77.93,-0.000513018,0,1419.5,-0.002108963,0
24-05-2013,6478.2725,0.001895235,1,21283.77,0.001855438,1,78.02,0.001154883,1,1437.5,0.012680521,1
27-05-2013,6446.54,-0.000771429,1,20958.86,-0.007813917,1,78,-0.000256345,1,1435.5,-0.001391304,1
28-05-2013,6434.7,-0.002788348,0,21501.72,0.0026256,0,78,0,1,1434.5,-0.000696621,1
29-05-2013,6455.81,-0.00115143,0,21441.12,0.002605739,0,78,0,0,1437.5,0.002091321,1
30-05-2013,6455.12,0.000445709,0,21590.66,0.010019096,1,77.97,-0.000384615,0,1437.5,0,1
31-05-2013,6463.06,0.001467934,1,21823.05,0.004973173,1,77.97,0,0,1430.5,-0.004869565,0
03-06-2013,6451.68,-0.000212542,1,22080.85,0.009850366,1,77.97,0,0,1428.5,-0.001398113,0
04-06-2013,6449.66,-0.00028128,1,22274.51,0.010449048,1,77.97,0,0,1427.5,-0.000700035,0
05-06-2013,6422.84,-0.00207741,0,22092.42,0.004136293,1,78,0.000384763,1,1430.5,0.002101576,1
06-06-2013,6372.38,-0.004109264,0,22276.7,0.002979001,1,77.98,-0.00025641,1,1429.5,-0.000699056,1
07-06-2013,6307.43,-0.007402374,0,22358.96,0.001286385,1,77.97,-0.000128238,1,1424.5,-0.003497726,0
10-06-2013,6341.28,-0.004227358,0,22150.74,0.000907124,1,77.99,0.000256509,0,1422.5,-0.001404001,0
11-06-2013,6303.79,-0.003579264,0,22209.07,-0.000995543,1,78,0.000128222,1,1419.5,-0.002108963,0
12-06-2013,6284.76,-0.001188063,0,22324.57,-0.0004929,0,77.98,-0.00025641,1,1417.5,-0.001408947,0
13-06-2013,6207.87,-0.007055077,0,22757.72,0.009078763,1,77.97,-0.000128238,0,1417.5,0,0
14-06-2013,6219.39,-0.004465822,0,22541.64,0.005036056,1,77.97,0,0,1417.5,0,0
17-06-2013,6219.11,-0.003474556,0,22216.46,-0.001506053,1,77.98,0.000128254,1,1414.5,-0.002116402,0
18-06-2013,6193,-0.000795887,0,21919.62,-0.012427271,0,77.98,0,1,1437.5,0.016260163,1
19-06-2013,6209.23,-0.00054089,0,22135.72,-0.005976088,0,77.97,-0.000128238,1,1437.5,0,1
20-06-2013,6211.44,-0.000407242,0,22015.04,-0.00298478,0,77.95,-0.000256509,0,1435.5,-0.001391304,1
21-06-2013,6155.27,-0.002022123,0,21698.35,-0.00332608,0,77.9,-0.000641437,0,1432.5,-0.002089864,0
24-06-2013,6149.38,-0.003214658,0,21048.08,-0.016601875,0,77.85,-0.000641849,0,1429.5,-0.002094241,0
25-06-2013,6086.22,-0.00675695,0,21110.34,-0.013798605,0,77.83,-0.000256904,0,1427.5,-0.001399091,0
26-06-2013,6072.68,-0.004484185,0,21002.57,-0.010705243,0,77.97,0.001798792,1,1422.5,-0.003502627,0
27-06-2013,6111.36,-0.002042047,0,21015.34,-0.000513024,0,77.95,-0.000256509,1,1437.5,0.010544815,1
28-06-2013,6121.01,0.001907947,0,21005.69,-0.001652083,0,77.98,0.000384862,1,1434.5,-0.002086957,1
01-07-2013,6132.75,0.00328884,1,21363.16,0.005722201,1,78,0.000256476,1,1432.5,-0.001394214,1
